time[s],angle[deg],amplitude[mV]
384.45001991,337.751831,0.265502
384.45005952,338.464996,0.47332
384.45020977,341.170227,0.489803
384.450313,343.02887,0.439982
384.45036415,343.949829,0.598502
384.4504168,344.897766,0.619489
384.45054681,347.238586,0.344288
384.45055583,347.401001,0.626186
384.45073573,350.640076,0.480739
384.45085788,352.839355,0.397243
384.45095597,354.605469,0.576405
384.45109722,357.148651,0.195725
384.45111501,357.468964,0.324201
384.45113655,357.856781,0.707425
384.45125268,359.947693,0.641037
384.45134917,1.684974,0.901073
384.45148842,4.192152,0.347741
384.45151966,4.754624,1.384633
384.45166202,7.317797,0.125487
384.45174741,8.855233,0.213228
384.45180596,9.909418,0.361025
384.45183001,10.342436,0.944526
384.45195532,12.598626,0.89884
384.45200356,13.467181,1.855921
384.45221412,17.258287,0.331413
384.45226408,18.15781,0.821487
384.45244036,21.331709,1.709518
384.4525601,23.487612,0.405087
384.45265602,25.21464,0.485284
384.45272638,26.481462,0.670946
384.45281703,28.113604,0.883239
384.45303223,31.988251,0.178356
384.4530818,32.880753,0.360976
384.45312987,33.746246,0.672233
384.45336112,37.909874,0.16754
384.45341737,38.922646,0.293202
384.4535642,41.566303,0.189339
384.45356947,41.66119,0.395093
384.4536998,44.007763,1.132872
384.4540133,49.65229,0.439041
384.45408737,50.985912,0.536295
384.45434477,55.620365,0.186864
384.45492573,66.080475,0.164944
384.46030243,162.887268,-0.107094
384.46037497,164.193329,-0.438709
384.46059102,168.083282,-0.189442
384.46061462,168.508209,-0.417236
384.46077493,171.394562,-0.122708
384.46080491,171.934357,-0.314732
384.46082453,172.287613,-0.316881
384.461053,176.401184,-0.460601
384.46116448,178.408356,-0.562042
384.46130098,180.866028,-0.153123
384.46131202,181.064804,-0.268149
384.4615626,185.576462,-0.935751
384.46168401,187.762436,-0.390168
384.46181213,190.069214,-0.809535
384.4620107,193.64444,-0.146178
384.46205453,194.433594,-0.146684
384.46232777,199.353241,-0.19324
384.46241278,200.883835,-0.202328
384.46267016,205.517929,-0.653753
384.46268645,205.811234,-0.696402
384.46284575,208.679413,-0.250008
384.46343578,219.302826,-0.299023
384.46380881,226.01918,-0.389364
384.46412215,231.660828,-0.207048
384.47006122,338.593018,0.307613
384.47013132,339.855164,0.351627
384.47032673,343.373505,0.31556
384.47040353,344.756256,0.602446
384.47042801,345.197021,0.647378
384.47054592,347.319977,0.586096
384.47069417,349.989197,0.146754
384.47072953,350.625854,0.374034
384.47076192,351.209015,0.403153
384.47082992,352.43335,0.475388
384.47095586,354.700897,0.409049
384.47111737,357.608856,0.466385
384.47114127,358.039185,2.231967
384.47129176,0.748718,0.62111
384.47143245,3.28183,0.638026
384.47162052,6.667999,0.505116
384.47165148,7.225433,0.62437
